model,gamma,learning rate,1st noise,2nd noise,max reward,max reached,AUC
model1,0.9,0.001,,,-1.01,108,-3063.42
model1,0.9,0.001,,1.0,-1.0100000000000007,1,-3044.42
model1,0.9,0.001,,5.0,0.7699999999999999,653,1044.77
model1,0.9,0.001,,10.0,0.7699999999999999,2381,-1952.8
model1,0.9,0.001,1.0,,0.8099999999999999,142,2156.93
model1,0.9,0.001,1.0,1.0,0.7899999999999999,145,2118.04
model1,0.9,0.001,1.0,5.0,-1.01,2,-3050.98
model1,0.9,0.001,1.0,10.0,-1.0100000000000007,4,-3045.32
model1,0.9,0.001,5.0,,0.8099999999999999,290,1833.58
model1,0.9,0.001,5.0,1.0,0.8099999999999999,268,1921.59
model1,0.9,0.001,5.0,5.0,0.7899999999999999,298,1847.48
model1,0.9,0.001,5.0,10.0,-1.0100000000000007,22,-3059.08
model1,0.9,0.001,10.0,,0.8099999999999999,293,1836.51
model1,0.9,0.001,10.0,1.0,0.8099999999999999,311,1812.27
model1,0.9,0.001,10.0,5.0,0.8099999999999999,312,1873.73
model1,0.9,0.001,10.0,10.0,0.7899999999999999,457,1586.27
model1,0.9,0.005,,,-1.0100000000000007,12,-3035.86
model1,0.9,0.005,,1.0,0.73,110,1990.12
model1,0.9,0.005,,5.0,-1.0100000000000007,1,-3029.82
model1,0.9,0.005,,10.0,-1.0100000000000007,1,-3030.02
model1,0.9,0.005,1.0,,0.7899999999999999,71,-3030.66
model1,0.9,0.005,1.0,1.0,0.75,66,-3035.2
model1,0.9,0.005,1.0,5.0,-1.01,3,-3035.93
model1,0.9,0.005,1.0,10.0,-1.0100000000000007,3,-3036.56
model1,0.9,0.005,5.0,,0.8099999999999999,98,2241.83
model1,0.9,0.005,5.0,1.0,0.7899999999999999,99,2171.86
model1,0.9,0.005,5.0,5.0,0.6299999999999999,114,-3042.08
model1,0.9,0.005,5.0,10.0,0.09999999999999942,365,-3037.92
model1,0.9,0.005,10.0,,0.7899999999999999,149,2089.95
model1,0.9,0.005,10.0,1.0,0.7899999999999999,148,2089.31
model1,0.9,0.005,10.0,5.0,0.7899999999999999,140,2043.36
model1,0.9,0.005,10.0,10.0,-1.01,13,-3045.72
model1,0.9,0.01,,,-1.01,1,-3030.21
model1,0.9,0.01,,1.0,-1.01,42,-3029.57
model1,0.9,0.01,,5.0,-1.0100000000000007,1,-3032.42
model1,0.9,0.01,,10.0,-1.0100000000000007,1,-3029.15
model1,0.9,0.01,1.0,,0.7699999999999999,45,2231.35
model1,0.9,0.01,1.0,1.0,-1.0100000000000007,4,-3037.72
model1,0.9,0.01,1.0,5.0,-1.01,3,-3031.13
model1,0.9,0.01,1.0,10.0,-1.01,3,-3031.18
model1,0.9,0.01,5.0,,0.7699999999999999,77,2155.99
model1,0.9,0.01,5.0,1.0,0.7899999999999999,82,2219.52
model1,0.9,0.01,5.0,5.0,-1.0100000000000007,9,-3042.42
model1,0.9,0.01,5.0,10.0,-1.01,5,-3035.49
model1,0.9,0.01,10.0,,0.7899999999999999,106,2046.02
model1,0.9,0.01,10.0,1.0,0.7899999999999999,104,2102.13
model1,0.9,0.01,10.0,5.0,0.8099999999999999,111,2237.35
model1,0.9,0.01,10.0,10.0,-1.01,3,-3045.12
model1,0.95,0.001,,,0.8099999999999999,229,1987.03
model1,0.95,0.001,,1.0,0.7699999999999999,204,1971.16
model1,0.95,0.001,,5.0,0.7699999999999999,516,1371.8
model1,0.95,0.001,,10.0,0.8099999999999999,1198,208.86
model1,0.95,0.001,1.0,,0.75,170,1898.72
model1,0.95,0.001,1.0,1.0,0.7899999999999999,164,2035.5
model1,0.95,0.001,1.0,5.0,0.7699999999999999,496,1389.54
model1,0.95,0.001,1.0,10.0,0.7899999999999999,1136,298.31
model1,0.95,0.001,5.0,,0.8099999999999999,329,1793.91
model1,0.95,0.001,5.0,1.0,0.8099999999999999,268,1887.8
model1,0.95,0.001,5.0,5.0,0.7899999999999999,274,1907.0
model1,0.95,0.001,5.0,10.0,0.74,477,1264.13
model1,0.95,0.001,10.0,,0.8099999999999999,333,1728.26
model1,0.95,0.001,10.0,1.0,0.8099999999999999,342,1754.56
model1,0.95,0.001,10.0,5.0,0.8099999999999999,321,1837.07
model1,0.95,0.001,10.0,10.0,0.7899999999999999,365,1672.97
model1,0.95,0.005,,,0.73,56,2028.27
model1,0.95,0.005,,1.0,0.7699999999999999,104,2134.09
model1,0.95,0.005,,5.0,0.7899999999999999,330,1773.2
